param,hdi_3%,ess_bulk,r_hat,mcse_mean,hdi_97%,sd,mean,mcse_sd,batch_no,ess_tail
tau_beta,0.239,3634.0,1.0,0.0,0.273,0.009,0.256,0.0,1,2520.0
tau_u,0.605,1626.0,1.0,0.0,0.655,0.013,0.632,0.0,1,2285.0
phi,15.382,2182.0,1.0,0.007,16.538,0.306,15.994,0.006,1,1582.0
tau_beta,0.211,3779.0,1.0,0.0,0.242,0.009,0.226,0.0,2,2568.0
tau_u,0.606,1358.0,1.0,0.0,0.658,0.014,0.632,0.0,2,2239.0
phi,16.278,2341.0,1.0,0.007,17.508,0.329,16.871,0.006,2,1852.0
tau_beta,0.214,3719.0,1.0,0.0,0.245,0.009,0.229,0.0,3,2796.0
tau_u,0.604,1633.0,1.0,0.0,0.653,0.013,0.628,0.0,3,2281.0
phi,16.001,1854.0,1.0,0.007,17.143,0.312,16.584,0.005,3,2078.0
tau_beta,0.238,4365.0,1.0,0.0,0.272,0.009,0.254,0.0,4,2473.0
tau_u,0.597,1306.0,1.0,0.0,0.646,0.013,0.621,0.0,4,1979.0
phi,14.019,2075.0,1.0,0.006,15.024,0.27,14.499,0.005,4,1996.0
tau_beta,0.221,3763.0,1.0,0.0,0.253,0.009,0.237,0.0,5,2681.0
tau_u,0.621,1154.0,1.0,0.0,0.674,0.014,0.647,0.0,5,2119.0
phi,16.042,2800.0,1.0,0.006,17.226,0.315,16.656,0.005,5,2295.0
tau_beta,0.201,3404.0,1.0,0.0,0.234,0.009,0.216,0.0,6,1998.0
tau_u,0.62,1776.0,1.0,0.0,0.674,0.014,0.646,0.0,6,2090.0
phi,15.88,1804.0,1.0,0.007,17.039,0.309,16.448,0.005,6,1849.0
tau_beta,0.195,2890.0,1.0,0.0,0.227,0.008,0.211,0.0,7,2133.0
tau_u,0.609,1902.0,1.0,0.0,0.661,0.014,0.634,0.0,7,2261.0
phi,16.497,1814.0,1.0,0.007,17.657,0.31,17.064,0.006,7,1731.0
tau_beta,0.262,3827.0,1.0,0.0,0.301,0.01,0.282,0.0,8,2431.0
tau_u,0.567,1697.0,1.0,0.0,0.616,0.013,0.591,0.0,8,2001.0
phi,15.809,2057.0,1.0,0.007,16.929,0.302,16.329,0.005,8,1967.0
tau_beta,0.229,3529.0,1.0,0.0,0.264,0.009,0.247,0.0,9,1778.0
tau_u,0.62,1541.0,1.0,0.0,0.674,0.014,0.648,0.0,9,2278.0
phi,15.964,1759.0,1.0,0.008,17.143,0.315,16.567,0.006,9,1752.0
tau_beta,0.21,3339.0,1.0,0.0,0.242,0.009,0.226,0.0,10,2537.0
tau_u,0.604,1757.0,1.0,0.0,0.655,0.014,0.63,0.0,10,2406.0
phi,15.562,1559.0,1.0,0.008,16.67,0.303,16.123,0.005,10,1896.0
